type,qual_dens,lat,lon
seagrass,moderate,59.61103299999997,-151.434375
seagrass,trace,59.61156899999999,-151.435648
seagrass,thick,59.61200099999996,-151.436804
seagrass,thin,59.61248699999998,-151.437957
seagrass,thick,59.609698800000004,-151.4308954
seagrass,thick,59.60979759999999,-151.43114980000001
seagrass,thick,59.6098964,-151.4314042
seagrass,thick,59.60999520000001,-151.43165860000002
seagrass,thick,59.61019360000001,-151.4321658
seagrass,moderate,59.610293199999965,-151.4324186
seagrass,trace,59.610392799999985,-151.4326714
seagrass,trace,59.610492399999984,-151.4329242
seagrass,thin,59.610680200000004,-151.4334166
seagrass,moderate,59.61076839999997,-151.4336562
seagrass,sparse,59.610856600000005,-151.4338958
seagrass,sparse,59.610944799999956,-151.4341354
seagrass,sparse,59.61114020000002,-151.4346296
seagrass,sparse,59.6112474,-151.4348842
seagrass,trace,59.61135459999998,-151.43513879999998
seagrass,sparse,59.611461800000015,-151.43539339999998
seagrass,moderate,59.61165540000002,-151.4358792
seagrass,moderate,59.61174180000003,-151.4361104
seagrass,thick,59.61182820000004,-151.4363416
seagrass,thick,59.611914600000006,-151.4365728
seagrass,moderate,59.61209819999998,-151.4370346
seagrass,moderate,59.612195400000026,-151.4372652
seagrass,moderate,59.612292599999996,-151.4374958
seagrass,thick,59.61238980000001,-151.4377264
seagrass,thin,59.613129,-151.437062
seagrass,thin,59.61572,-151.439794
seagrass,trace,59.61828099999999,-151.442542
seagrass,thin,59.620934000000034,-151.445147
seagrass,sparse,59.62343399999998,-151.447847
seagrass,thin,59.61341688888892,-151.43736555555554
seagrass,sparse,59.61370477777779,-151.43766911111112
seagrass,sparse,59.61399266666667,-151.43797266666667
seagrass,thin,59.61428055555559,-151.4382762222222
seagrass,thin,59.61456844444446,-151.4385797777778
seagrass,thin,59.614856333333336,-151.43888333333334
seagrass,moderate,59.61514422222223,-151.43918688888888
seagrass,sparse,59.6154321111111,-151.43949044444446
seagrass,thin,59.616004555555584,-151.44009933333334
seagrass,trace,59.61628911111109,-151.44040466666667
seagrass,none,59.61657366666667,-151.44071
seagrass,sparse,59.6168582222222,-151.44101533333333
seagrass,none,59.617142777777765,-151.44132066666668
seagrass,none,59.617427333333325,-151.441626
seagrass,none,59.617711888888905,-151.44193133333334
seagrass,none,59.61799644444441,-151.44223666666667
seagrass,trace,59.61857577777775,-151.44283144444444
seagrass,none,59.61887055555555,-151.4431208888889
seagrass,sparse,59.61916533333334,-151.44341033333333
seagrass,none,59.619460111111096,-151.44369977777777
seagrass,none,59.61975488888893,-151.44398922222226
seagrass,trace,59.62004966666669,-151.44427866666666
seagrass,none,59.62034444444444,-151.4445681111111
seagrass,thin,59.62063922222224,-151.44485755555556
seagrass,moderate,59.621211777777766,-151.445447
seagrass,none,59.62148955555554,-151.44574699999998
seagrass,none,59.621767333333324,-151.446047
seagrass,trace,59.62204511111111,-151.446347
seagrass,trace,59.62232288888892,-151.44664699999998
seagrass,none,59.62260066666665,-151.446947
seagrass,none,59.62287844444444,-151.447247
seagrass,none,59.62315622222223,-151.447547
seagrass,thick,59.609937800000004,-151.433626
seagrass,none,59.610264999999984,-151.430518
seagrass,sparse,59.62404400000002,-151.445534
seagrass,trace,59.621894999999995,-151.444723
seagrass,thick,59.62136300000002,-151.444651
seagrass,none,59.620542,-151.444395
seagrass,none,59.62628399999999,-151.468338
seagrass,none,59.62916100000001,-151.465608
seagrass,thick,59.63154799999997,-151.463332
seagrass,thick,59.63395300000001,-151.461111
seagrass,thick,59.636297000000006,-151.458938
seagrass,none,59.62660366666666,-151.46803466666665
seagrass,none,59.62692333333334,-151.46773133333332
seagrass,none,59.62724300000002,-151.46742799999998
seagrass,none,59.62756266666668,-151.46712466666665
seagrass,none,59.62788233333334,-151.46682133333334
seagrass,none,59.62820199999997,-151.466518
seagrass,trace,59.628521666666686,-151.4662146666667
seagrass,none,59.62884133333334,-151.46591133333334
seagrass,sparse,59.62942622222225,-151.46535511111114
seagrass,moderate,59.62969144444445,-151.4651022222222
seagrass,thick,59.629956666666665,-151.46484933333335
seagrass,thick,59.63022188888898,-151.46459644444445
seagrass,thick,59.6304871111111,-151.46434355555556
seagrass,thick,59.63075233333333,-151.46409066666666
seagrass,thick,59.63101755555559,-151.4638377777778
seagrass,thick,59.63128277777781,-151.4635848888889
seagrass,thick,59.63181522222221,-151.46308522222222
seagrass,thick,59.632082444444485,-151.46283844444446
seagrass,thick,59.632349666666684,-151.46259166666667
seagrass,thick,59.632616888888926,-151.46234488888888
seagrass,thick,59.632884111111096,-151.46209811111112
seagrass,thick,59.63315133333337,-151.46185133333333
seagrass,thick,59.63341855555557,-151.46160455555554
seagrass,thick,59.63368577777778,-151.46135777777778
seagrass,thick,59.63421344444435,-151.46086955555555
seagrass,thick,59.6344738888889,-151.4606281111111
seagrass,thick,59.63473433333332,-151.46038666666666
seagrass,thick,59.634994777777784,-151.46014522222222
seagrass,thick,59.635255222222206,-151.45990377777775
seagrass,thick,59.635515666666656,-151.4596623333333
seagrass,thick,59.63577611111112,-151.45942088888887
seagrass,thick,59.63603655555557,-151.45917944444443
seagrass,thick,59.63506000000002,-151.454592
seagrass,thick,59.63475399999994,-151.45575
seagrass,thick,59.63441699999999,-151.457649
seagrass,thick,59.63325399999999,-151.459077
seagrass,thick,59.63123399999997,-151.461287
seagrass,thick,59.629457999999985,-151.461606
seagrass,thick,59.62849499999999,-151.461632
seagrass,thin,59.62836799999998,-151.461655
seagrass,sparse,59.62789300000004,-151.462003
seagrass,trace,59.62711399999998,-151.462411
seagrass,trace,59.62554599999999,-151.462935
seagrass,none,59.62546700000001,-151.46296
